experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc
EXP-PROP-005,proposal,64,Set_3,0.8712121212121212,0.775,0.7272727272727273,0.8333333333333334,0.7804878048780488,0.7803030303030303
EXP-PROP-005,proposal,2026,Set_0,0.9217171717171717,0.825,0.9090909090909091,0.7222222222222222,0.8510638297872342,0.8156565656565656
EXP-PROP-005,proposal,2026,Set_1,0.8463541666666667,0.725,0.625,0.7916666666666666,0.6451612903225806,0.7083333333333333
EXP-PROP-005,proposal,2026,Set_2,0.9575000000000001,0.875,0.9,0.85,0.8780487804878048,0.875
EXP-PROP-005,proposal,2026,Set_3,0.8484848484848485,0.725,0.7727272727272727,0.6666666666666666,0.7555555555555555,0.7196969696969697
fnn,baseline,1234,Set_0,0.8863636363636365,0.725,0.7727272727272727,0.6666666666666666,0.7555555555555555,0.7196969696969697
fnn,baseline,1234,Set_1,0.8385416666666666,0.775,0.75,0.7916666666666666,0.7272727272727272,0.7708333333333333
fnn,baseline,1234,Set_2,0.9824999999999999,0.95,0.95,0.95,0.9500000000000001,0.95
fnn,baseline,1234,Set_3,0.7954545454545454,0.725,0.6818181818181818,0.7777777777777778,0.7317073170731707,0.7297979797979798
fnn,baseline,100,Set_0,0.9015151515151516,0.8,0.8636363636363636,0.7222222222222222,0.8260869565217391,0.7929292929292929
fnn,baseline,100,Set_1,0.8020833333333333,0.7,0.8125,0.625,0.6842105263157896,0.71875
fnn,baseline,100,Set_2,0.9625,0.9,0.9,0.9,0.9,0.9
fnn,baseline,100,Set_3,0.7878787878787878,0.7,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.7070707070707071
fnn,baseline,0,Set_0,0.8358585858585859,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253
fnn,baseline,0,Set_1,0.7994791666666666,0.75,0.75,0.75,0.7058823529411765,0.75
fnn,baseline,0,Set_2,0.9924999999999999,0.95,0.95,0.95,0.9500000000000001,0.95
fnn,baseline,0,Set_3,0.8282828282828283,0.75,0.7272727272727273,0.7777777777777778,0.761904761904762,0.7525252525252526
fnn,baseline,2024,Set_0,0.8712121212121212,0.75,0.7727272727272727,0.7222222222222222,0.7727272727272727,0.7474747474747474
fnn,baseline,2024,Set_1,0.8489583333333333,0.775,0.8125,0.75,0.742857142857143,0.78125
fnn,baseline,2024,Set_2,0.9725,0.9,0.9,0.9,0.9,0.9
fnn,baseline,2024,Set_3,0.8257575757575758,0.75,0.6818181818181818,0.8333333333333334,0.7499999999999999,0.7575757575757576
fnn,baseline,42,Set_0,0.8282828282828284,0.675,0.6818181818181818,0.6666666666666666,0.6976744186046512,0.6742424242424242
fnn,baseline,42,Set_1,0.8411458333333335,0.825,0.8125,0.8333333333333334,0.787878787878788,0.8229166666666667
fnn,baseline,42,Set_2,0.9675,0.875,0.95,0.8,0.8837209302325583,0.875
fnn,baseline,42,Set_3,0.8181818181818182,0.75,0.6818181818181818,0.8333333333333334,0.7499999999999999,0.7575757575757576
fnn,baseline,3,Set_0,0.8914141414141414,0.775,0.7727272727272727,0.7777777777777778,0.7906976744186046,0.7752525252525253
